url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
https://open.spotify.com/track/1HKl3RJInVzf5ObVnM644j,0.717,0.712,0,-6.098,1,0.0765,0.00663,0.0,0.0756,0.825,97.019,171172,4,0
https://open.spotify.com/track/5p3JJehpKHjr9pJT5eD2Lz,0.624,0.888,2,-2.13,1,0.099,0.238,0.0,0.317,0.824,180.088,226160,4,0
https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M,0.793,0.782,4,-3.945,1,0.0582,0.447,0.0,0.124,0.81,143.86,191945,4,0
https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,222347,4,0
https://open.spotify.com/track/2RxC2peY3FtrurYmbbmanr,0.755,0.531,9,-8.051,0,0.196,0.213,0.0,0.13,0.683,177.951,203360,4,0
https://open.spotify.com/track/2dz9Mx1pZKF2OLAPCr3AcC,0.166,0.00133,0,-23.291,0,0.215,0.125,0.846,0.233,0.0218,119.669,120083,4,0
https://open.spotify.com/track/1RKZvaLj3UPhGjZkaIrFm7,0.795,0.885,8,-4.13,1,0.0713,0.0375,0.00638,0.292,0.46,126.037,169998,4,0
https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1,0.802,0.787,7,-6.181,0,0.0599,0.0832,0.0,0.153,0.446,94.026,167975,4,0
https://open.spotify.com/track/2O97frCXRrFLDV10UeCd9V,0.651,0.737,9,-7.416,1,0.0415,0.0447,0.0,0.156,0.703,104.832,209583,4,0
https://open.spotify.com/track/1S7FT0rhQ6AaTg0yBbFxYS,0.554,0.567,4,-4.642,0,0.0325,0.734,0.0,0.114,0.745,206.962,224442,3,0
https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4,0
https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4,0
https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4,0
https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4,0
https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,169999,4,0
https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0,0.792,0.512,2,-6.875,1,0.0408,0.13,8.82e-05,0.14,0.11,113.978,168490,4,0
https://open.spotify.com/track/6VUU6p8uM1ZxUvIcDoO8xW,0.737,0.77,9,-4.803,1,0.0971,0.0521,0.0,0.0413,0.95,171.959,192800,4,0
https://open.spotify.com/track/0SXTZcnqNw7jEKarzzARHS,0.876,0.85,1,-5.75,0,0.163,0.0118,0.0067,0.111,0.962,122.666,158147,5,0
https://open.spotify.com/track/0kb7HXNetTrRwTV8sE1hxl,0.611,0.781,2,-5.261,1,0.149,0.08,0.0,0.264,0.413,186.162,187120,4,0
https://open.spotify.com/track/3ljmd8ckzRlf3M5bMRT3bs,0.718,0.711,8,-5.746,0,0.11,0.157,5.52e-05,0.1,0.92,173.916,226413,4,0
https://open.spotify.com/track/4y3BUo2hp0MxylfbUaqRyJ,0.871,0.501,9,-8.904,1,0.0466,0.371,0.0,0.0939,0.848,119.953,196000,4,0
https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387,4,0
https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,171375,4,0
https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4,0
https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,0
https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp,0.499,0.462,0,-5.308,1,0.0312,0.801,0.0,0.0946,0.599,127.698,157710,4,0
https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg,0.552,0.599,1,-5.75,0,0.0404,0.0703,0.0,0.0986,0.0916,161.884,208457,4,0
https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,0.694,0.685,6,-6.535,0,0.133,0.224,0.0,0.124,0.306,158.831,196180,4,0
https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,158571,4,0
https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,4,0
https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4,0
https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve,0.614,0.937,1,-7.443,1,0.115,0.00161,0.00136,0.103,0.386,84.98,105176,4,0
https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,0
https://open.spotify.com/track/170DNUSnQRp1tGpppF26pA,0.616,0.617,1,-8.431,1,0.52,0.128,0.0,0.177,0.476,175.929,177273,4,0
https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4,0
https://open.spotify.com/track/3WnTQDd9A3bpBfzCziElU9,0.474,0.681,4,-3.473,0,0.038,0.0263,4.27e-05,0.0972,0.0384,121.96,283270,4,0
https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4,0
https://open.spotify.com/track/41MCdlvXOl62B7Kv86Bb1v,0.745,0.561,0,-4.869,1,0.0807,0.0758,0.0,0.133,0.449,77.557,248431,4,0
https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4,0
https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1,0.768,0.339,0,-13.169,1,0.777,0.608,0.000956,0.261,0.568,76.229,154599,4,0
https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,0
https://open.spotify.com/track/54eUv9Q3D9MZuOGS5PSflp,0.431,0.831,8,-5.108,1,0.0474,0.0791,0.0,0.312,0.352,167.96,184893,4,0
https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040,4,0
